blend_weight,mean,std,min,max
0.9,0.9760792782603461,0.007019679490544474,0.9622372169461537,0.9884470901387926
0.8,0.9759075020410708,0.006806636250606559,0.9622131981121826,0.9866480458955509
0.7,0.9758748572032646,0.006650510030276537,0.9621731667222309,0.9860400770704933
0.6,0.9758077627629869,0.006604745233552636,0.9621171227762984,0.9858525952275321
0.5,0.9757342354272986,0.006559151959063089,0.9620450662743849,0.9858524793474073
0.4,0.9756307462438869,0.006564474507220108,0.9606056458651397,0.9858523377161437
0.2,0.9755460073319535,0.00658625839525285,0.9617328214327607,0.9864543868387539
0.3,0.9754520949078442,0.00668143747584619,0.9605015642512649,0.9858521703337411
0.1,0.9753611976887756,0.00646125802465763,0.9615967147069246,0.9858517583155195
1.0,0.9741178472329927,0.00707341777941972,0.9602897930054852,0.9902419906767125
